Port,Protocol,Count
59451,udp,4
4075,udp,4
62058,tcp,6
4707,udp,9
57019,udp,2
3909,tcp,3
53453,udp,4
54977,udp,3
4947,tcp,4
52988,tcp,8
51787,tcp,6
52577,udp,4
57005,udp,8
3070,udp,5
60379,udp,9
58423,udp,7
52471,tcp,6
62899,tcp,8
64334,udp,8
1685,tcp,6
59425,udp,14
1990,tcp,5
60515,tcp,7
64796,tcp,5
4782,udp,2
55744,tcp,10
63223,udp,5
52264,udp,5
51026,tcp,4
3876,tcp,2
49522,udp,3
53234,udp,10
53782,tcp,5
51494,udp,7
57644,tcp,7
55533,udp,5
51521,udp,9
2821,udp,8
63707,udp,9
62940,udp,5
999,tcp,8
58734,udp,9
57002,udp,7
62834,udp,3
56355,udp,5
64425,tcp,4
56741,udp,6
64847,udp,6
54697,tcp,9
65141,tcp,6
50456,udp,7
51421,udp,4
774,tcp,9
53432,udp,4
62957,udp,7
53293,tcp,9
55666,udp,6
65122,tcp,3
65326,udp,5
55832,udp,5
60251,tcp,6
58069,udp,8
3496,udp,6
60973,tcp,9
1127,tcp,4
62883,udp,2
2416,tcp,3
63800,tcp,5
1040,tcp,5
1958,tcp,4
3305,tcp,4
1669,tcp,3
4934,udp,8
3922,udp,4
1598,tcp,4
56003,udp,6
3428,udp,3
1479,udp,5
53880,tcp,3
715,udp,2
63557,tcp,5
52060,udp,6
57380,udp,4
2824,tcp,6
3939,tcp,4
57311,udp,4
63043,tcp,4
62544,tcp,3
4349,udp,5
57826,udp,3
51026,udp,6
50348,udp,3
59109,tcp,3
64496,tcp,4
1286,udp,4
3676,udp,10
65132,udp,9
1738,udp,4
57607,udp,10
55737,tcp,3
1589,udp,6
820,udp,6
58895,tcp,5
55234,udp,3
1531,udp,4
63199,tcp,9
4108,udp,10
65282,tcp,4
63684,udp,5
57057,tcp,5
4833,udp,8
55593,tcp,4
53682,tcp,6
55955,tcp,6
64617,udp,4
54766,tcp,8
50670,tcp,8
64058,tcp,6
50983,tcp,5
62514,udp,7
58896,tcp,12
1263,tcp,9
50194,udp,8
54707,tcp,5
2377,udp,3
50689,udp,2
54910,tcp,10
1958,udp,5
64479,tcp,8
55758,tcp,6
64824,tcp,6
57004,tcp,5
50681,tcp,9
54341,udp,6
53378,tcp,5
60141,udp,5
3799,udp,8
4150,tcp,6
55809,udp,6
55451,udp,9
50788,tcp,6
59512,tcp,5
56785,udp,8
59952,tcp,9
2478,udp,5
58395,udp,3
49706,udp,5
63212,tcp,6
56164,udp,4
57100,tcp,6
53051,udp,9
56801,udp,12
55656,tcp,5
51876,udp,6
50282,udp,4
64305,tcp,7
64667,udp,7
59225,udp,4
53913,tcp,4
58294,tcp,7
1750,tcp,5
2066,udp,3
56195,udp,4
52026,udp,4
53093,udp,8
53067,udp,7
63399,tcp,11
63096,tcp,8
58734,tcp,2
59579,udp,5
62881,udp,5
49651,tcp,10
60274,udp,4
1658,udp,4
55991,udp,4
65253,tcp,6
61361,tcp,8
3010,udp,4
58638,tcp,8
55791,udp,4
1264,tcp,7
58883,tcp,4
64505,tcp,7
55130,tcp,4
54508,udp,8
50833,tcp,5
55896,tcp,7
52313,udp,6
52510,tcp,3
52507,tcp,6
1258,udp,2
59084,udp,7
2120,udp,7
57409,udp,2
53865,udp,3
61513,udp,5
63519,tcp,4
62348,udp,8
53600,tcp,7
49640,tcp,10
60684,udp,7
66,udp,2
63810,udp,5
50614,tcp,4
53327,udp,3
62112,udp,8
53882,udp,5
59317,udp,4
53525,udp,2
59708,udp,6
59771,tcp,5
61033,udp,6
55276,udp,6
3773,udp,9
60023,tcp,6
1947,tcp,2
63140,tcp,6
55945,tcp,7
62494,udp,8
51459,udp,1
50273,tcp,3
53082,tcp,11
59173,tcp,5
55943,tcp,5
57920,udp,4
49542,tcp,6
55309,udp,1
50619,tcp,7
4800,tcp,2
57583,tcp,6
59561,udp,4
54780,udp,7
63946,tcp,3
63534,udp,6
60221,tcp,6
63315,tcp,8
2854,udp,1
53099,tcp,7
54704,udp,6
60613,udp,10
61658,udp,5
58888,tcp,9
65367,tcp,4
2050,udp,8
52096,udp,4
2684,udp,3
520,udp,4
62891,tcp,4
2569,udp,5
2119,tcp,2
2189,udp,12
60430,udp,7
58937,udp,6
55702,udp,5
63816,udp,3
57830,udp,12
3159,tcp,7
50794,tcp,3
64443,udp,10
55663,udp,8
1448,udp,2
61978,udp,7
50195,tcp,5
62500,udp,3
